ID,RA,e_RA,DEC,e_DEC,Sint,e_Sint,Spk,e_Spk,MAJAX,e_MAJAX,MINAX,e_MINAX,PA,e_PA,Island_RMS,S_Code,Mosaic_Name
J122318.2+511551,185.82611,2.0,51.26437,2.0,530.0,53.8,292.7,29.5,36.8,0.5,27.2,0.3,16.4,2.0,3.3,M,R38D64
J122327.0+501806,185.86258,2.0,50.3018,2.0,139.8,15.0,111.2,11.6,29.5,0.9,26.7,0.8,73.2,11.9,3.3,S,R38D64
J122332.0+485841,185.88348,2.0,48.97815,2.1,172.4,18.1,97.9,10.5,36.6,1.5,30.1,1.0,7.4,9.4,3.4,S,R38D63
J122337.4+501128,185.90614,2.0,50.19128,2.1,195.2,20.1,120.3,12.5,39.2,1.3,25.9,0.6,35.1,2.1,3.1,S,R38D64
J122343.0+503752,185.92947,2.0,50.63114,2.0,461.3,46.5,435.0,43.6,26.0,0.2,25.5,0.2,40.0,15.1,3.3,S,R38D64
J122343.4+495047,185.93124,2.4,49.84652,2.3,34.6,6.1,29.5,4.3,28.1,3.0,26.0,2.6,87.1,56.8,3.0,S,R38D63
J122351.5+492745,185.96487,2.1,49.46271,2.1,79.2,9.5,70.4,7.7,27.4,1.3,25.6,1.1,37.2,28.0,3.1,S,R38D63
J122352.0+520511,185.96667,2.6,52.08658,2.7,34.9,5.8,23.3,3.8,32.0,4.3,29.2,3.6,-29.5,59.3,2.8,S,R38D64
J122352.8+500038,185.97012,2.0,50.01066,2.1,143.3,15.1,91.6,9.7,37.3,1.5,26.2,0.8,7.6,5.5,3.0,S,R38D63
J122359.8+501212,185.99953,2.0,50.20351,2.2,154.1,17.0,84.1,9.0,38.5,2.0,21.3,0.7,68.8,3.7,3.1,M,R38D64
J122402.1+515244,186.00897,2.5,51.87894,2.7,38.2,6.1,25.2,4.0,32.7,4.2,28.9,3.4,16.7,42.0,2.9,S,R38D64
J122402.1+510442,186.00911,3.3,51.07858,2.9,52.2,7.1,24.2,4.2,42.8,6.7,31.6,4.1,-60.2,21.9,3.2,S,R38D64
J122404.9+512521,186.02049,2.4,51.42259,2.3,41.1,6.6,32.3,4.6,30.7,3.3,25.9,2.4,74.6,24.8,3.1,S,R38D64
J122406.5+485337,186.02708,2.1,48.89381,2.1,113.5,12.8,91.8,9.9,28.7,1.2,26.9,1.0,42.1,26.9,3.5,S,R38D63
J122406.9+502754,186.02892,2.0,50.46502,2.0,117.2,12.9,102.0,10.7,27.0,0.9,26.6,0.8,42.1,90.0,3.2,S,R38D64
J122408.1+493059,186.034,2.2,49.51666,2.3,41.8,6.6,36.3,4.8,28.4,2.6,25.4,2.1,1.4,33.2,3.0,S,R38D63
J122409.8+500154,186.04102,2.1,50.03184,2.1,58.0,7.7,48.4,5.7,28.0,1.8,26.7,1.7,-21.9,55.9,3.0,S,R38D63
J122410.9+520853,186.04568,2.5,52.14815,2.4,42.4,6.2,27.9,4.1,31.9,3.5,29.9,3.1,-77.3,70.5,2.8,S,R38D65
J122411.2+495924,186.04669,2.7,49.99023,2.7,30.2,5.8,22.1,3.8,30.7,4.5,27.9,3.8,-36.9,65.1,3.0,S,R38D63
J122417.6+514804,186.07372,2.1,51.80125,2.1,65.4,8.2,50.2,5.9,29.0,1.8,28.1,1.7,41.2,75.8,2.9,S,R38D64
J122419.4+495642,186.08102,2.0,49.94504,2.0,104.1,11.6,87.3,9.3,29.0,1.1,25.7,0.9,67.6,13.5,3.0,C,R38D63
J122422.5+495654,186.09404,2.0,49.94858,2.0,242.4,24.8,218.7,22.1,27.0,0.4,25.6,0.3,45.2,11.5,3.0,C,R38D63
J122427.8+515223,186.116,2.3,51.8732,2.3,54.4,7.2,35.8,4.7,33.1,3.0,28.7,2.3,-33.7,25.6,2.9,S,R38D64
J122434.0+491419,186.14168,2.0,49.23879,2.0,172.2,18.1,148.0,15.2,27.4,0.6,26.6,0.6,-79.6,31.5,3.2,S,R38D63
J122434.9+520426,186.14578,2.0,52.0741,2.0,185.1,19.1,144.1,14.7,29.0,0.6,27.7,0.6,88.5,17.0,2.8,S,R38D64
J122435.7+493533,186.14906,2.5,49.5926,2.7,30.3,5.9,23.5,3.9,30.4,4.3,26.5,3.3,26.9,43.3,3.0,S,R38D63
J122437.7+500808,186.15729,2.5,50.1357,2.6,29.9,5.8,23.1,3.9,29.4,4.1,27.6,3.6,7.7,90.0,3.0,S,R38D64
J122450.2+493142,186.20927,2.0,49.52835,2.0,126.4,13.7,123.0,12.7,25.9,0.7,24.8,0.6,15.6,24.0,3.0,S,R38D63
J122457.0+490908,186.23778,2.0,49.15244,2.0,889.4,89.6,593.3,59.4,32.3,0.2,27.6,0.2,-6.4,1.7,3.4,M,R38D63
J122500.9+484806,186.25375,2.2,48.80183,2.2,56.0,8.2,43.7,5.7,29.4,2.6,27.2,2.2,-43.4,46.8,3.5,S,R38D63
J122503.1+513306,186.26318,2.0,51.5519,2.0,224.7,23.4,186.5,18.9,27.4,0.5,24.1,0.4,19.8,5.7,3.0,M,R38D64
J122506.6+483434,186.27785,2.0,48.57629,2.0,452.9,45.6,329.7,33.2,31.4,0.4,27.3,0.3,43.1,4.3,3.4,S,R38D63
J122515.2+495036,186.3134,2.3,49.84342,2.5,50.2,6.9,32.4,4.5,35.5,3.8,27.3,2.4,25.1,18.3,3.0,S,R38D63
J122526.0+500905,186.35861,2.0,50.15164,2.1,282.1,29.0,129.1,13.2,43.9,1.3,27.1,0.6,-61.2,2.8,2.9,M,R38D64
J122529.7+500842,186.37396,2.0,50.14519,2.0,231.7,23.7,211.7,21.4,26.6,0.4,25.7,0.4,-42.5,16.0,2.9,C,R38D64
J122536.6+490427,186.40253,3.1,49.07424,2.4,43.5,7.1,27.7,4.6,36.8,5.5,26.7,3.1,-89.6,21.0,3.5,C,R38D63
J122541.7+494846,186.42377,2.0,49.81297,2.0,266.0,27.0,207.9,21.0,30.4,0.5,26.3,0.4,28.9,5.5,2.9,S,R38D63
J122542.3+490438,186.42628,2.1,49.07731,2.1,69.7,9.2,62.5,7.2,29.7,1.9,23.5,1.2,-59.7,11.9,3.5,C,R38D63
J122542.5+520001,186.42714,2.8,52.00042,2.6,63.5,7.5,29.5,4.1,47.8,5.5,28.2,2.3,-50.7,9.4,2.8,S,R38D64
J122547.0+495017,186.44608,2.3,49.83826,2.3,46.1,6.7,34.8,4.6,29.3,2.6,28.2,2.4,-89.8,90.0,2.9,S,R38D63
J122557.9+503549,186.49146,2.1,50.59716,2.1,76.4,9.0,64.6,7.1,28.3,1.3,26.1,1.1,-75.2,23.3,2.8,S,R38D64
J122558.7+511309,186.49483,2.6,51.21931,2.3,41.8,6.3,28.2,4.1,34.5,4.1,26.8,2.6,-74.7,19.1,2.9,S,R38D64
J122601.7+512724,186.50746,2.6,51.45684,2.7,46.2,6.5,25.9,4.0,35.0,4.3,31.9,3.7,-14.3,54.1,2.9,S,R38D64
J122605.3+485803,186.52226,2.1,48.96755,2.1,67.2,9.1,59.0,6.9,27.4,1.8,26.0,1.6,43.2,50.0,3.6,S,R38D63
J122620.1+514456,186.58385,2.0,51.74912,2.1,625.6,63.1,216.4,21.8,59.0,1.2,26.2,0.3,78.8,1.3,2.8,M,R38D64
J122622.4+483639,186.5937,2.0,48.61106,2.0,400.3,40.5,369.8,37.1,26.5,0.3,25.6,0.2,-82.6,12.6,3.4,S,R38D63
J122630.1+491207,186.62553,2.0,49.20218,2.1,91.9,10.8,79.5,8.7,29.8,1.4,24.2,0.9,26.5,10.5,3.4,S,R38D63
J122630.4+514312,186.627,2.1,51.72012,2.1,77.5,9.1,55.7,6.3,30.3,1.7,28.6,1.5,4.5,38.6,2.8,S,R38D64
J122631.4+484733,186.63113,2.1,48.79257,2.2,79.7,10.0,60.4,7.1,30.4,2.0,27.2,1.6,17.2,25.4,3.6,S,R38D63
J122633.2+483729,186.63872,2.4,48.62495,2.3,43.3,7.2,34.3,4.9,29.6,3.2,26.6,2.6,-66.5,42.8,3.4,S,R38D63
J122641.0+484722,186.67101,2.0,48.78953,2.0,129.8,14.4,120.0,12.5,26.2,0.8,25.8,0.8,-27.6,88.5,3.6,S,R38D63
J122643.2+504201,186.68013,2.1,50.70037,2.1,52.1,7.0,45.4,5.4,28.7,1.9,25.0,1.5,36.7,19.5,2.8,S,R38D64
J122659.7+495645,186.74908,2.3,49.94594,2.4,27.0,5.6,25.7,3.8,26.8,3.1,24.5,2.6,17.9,53.4,2.8,S,R38D64
J122708.9+503443,186.78746,2.7,50.57887,2.5,28.8,5.4,21.3,3.6,31.1,4.4,27.3,3.5,84.7,44.4,2.7,S,R38D64
J122720.7+514506,186.83643,2.4,51.75186,2.2,153.0,15.8,59.8,6.6,56.9,3.3,28.1,1.1,59.9,3.6,2.8,S,R38D64
J122722.9+511117,186.84566,2.6,51.18818,2.5,23.6,5.3,21.2,3.5,28.7,4.2,24.3,3.0,-52.8,35.2,2.8,S,R38D64
J122730.4+504841,186.87677,2.1,50.8115,2.1,57.0,7.3,47.9,5.6,27.6,1.6,26.9,1.6,-79.4,85.6,2.7,S,R38D64
J122730.9+492844,186.87889,2.0,49.479,2.0,460.2,46.6,281.1,28.3,33.5,0.4,26.9,0.3,1.0,2.5,3.0,M,R38D63
J122745.0+491433,186.93768,2.1,49.24252,2.1,63.3,8.4,56.3,6.5,26.8,1.6,26.2,1.5,-32.2,90.0,3.2,S,R38D63
J122755.1+484234,186.97995,2.3,48.70963,2.1,149.1,15.7,72.4,8.0,45.8,2.6,28.1,1.2,80.8,6.8,3.3,S,R38D63
J122755.8+493256,186.98254,2.0,49.54904,2.0,323.9,32.8,268.6,27.0,27.7,0.3,27.2,0.3,1.1,28.6,2.9,S,R38D63
J122801.0+493051,187.00439,2.1,49.51437,2.1,56.1,7.5,49.9,5.8,27.3,1.7,25.7,1.5,77.4,44.4,2.9,S,R38D63
J122803.7+505639,187.01543,2.0,50.9442,2.0,105.6,11.5,84.1,8.9,29.4,1.0,26.7,0.9,-16.5,14.8,2.7,S,R38D64
